X_Coord_SMDA,Y_Coord_SMDA,Porosity_Percentage,Shc_Percentage,Gross_Thickness_m,TOC_weight_pct
2543919.312,5705344.706,9.0,70.0,38.0,5.0
2468054.42,5884311.84,10.0,63.0,40.0,4.2
2524246.0,5835584.0,9.0,56.0,26.0,3.8
2497743.115,5794755.408,15.0,75.0,30.0,6.0
2488636.367,5821515.206,14.0,72.0,32.0,5.0
2520701.721,5716042.828,12.0,77.0,50.0,5.0
2567781.829,5762938.968,12.0,90.0,60.0,6.2
2559690.984,5706387.963,9.0,75.0,43.0,4.3
2515001.285,5843483.896,11.0,73.0,54.0,4.6
2516481.284,5701960.716,9.0,76.0,40.0,5.4
2507329.284,5770024.401,15.0,75.0,30.0,6.0
2490184.048,5663857.544,11.0,65.0,54.0,3.5
2492400.226,5705546.0,10.0,80.0,44.0,6.0
2554650.291,5693953.388,10.0,72.0,37.0,5.0
2536577.262,5832796.546,10.0,55.0,22.0,2.5
2458331.93,5804162.29,10.0,61.0,19.0,3.0
2507233.074,5792032.819,14.0,75.0,28.0,5.5
2535411.941,5785504.889,13.0,80.0,30.0,5.0
2468062.289,5884301.31,10.0,75.0,42.0,4.0
2527275.373,5799719.158,10.0,75.0,32.0,4.5
2522770.482,5769458.021,13.0,70.0,30.0,5.0
2513964.083,5764979.342,13.0,65.0,30.0,4.0
2475461.466,5843015.116,12.0,65.0,33.0,3.0
