X_Coord_SMDA,Y_Coord_SMDA,Porosity_Percentage,Shc_Percentage,Gross_Thickness_m,TOC_weight_pct
2446696.074,5718006.798,5.0,48.0,28.0,2.3
2499198.315,5852075.816,10.0,70.0,55.0,4.0
2511190.833,5855927.473,12.0,82.0,50.0,4.5
2538852.621,5761537.644,11.0,80.0,40.0,4.0
2481308.0,5749371.0,16.0,60.0,30.0,3.9
2511242.54,5768333.13,13.0,65.0,29.0,4.5
2533389.532,5787985.539,8.0,81.0,26.0,5.4
2462091.749,5803861.57,14.0,73.0,23.0,4.5
2451790.251,5862654.656,12.0,75.0,28.0,5.5
2526487.397,5705781.713,10.0,85.0,53.0,5.4
2558513.007,5694489.476,9.0,65.0,23.0,5.0
2474194.495,5712219.54,12.0,65.0,46.0,4.0
2552628.861,5743741.159,10.0,76.0,45.0,4.0
2495698.479,5849020.009,12.5,77.0,40.0,5.5
2523622.092,5725385.776,9.0,75.0,32.0,4.0
2459343.881,5720048.616,11.0,66.0,35.0,4.0
2548401.586,5704100.592,8.0,90.0,33.0,6.5
2511549.0,5761504.0,14.0,66.0,34.0,4.4
2519012.071,5818456.124,9.0,75.0,33.0,4.0
2543144.071,5783141.459,10.0,82.0,38.0,6.0
2475907.245,5860750.586,10.0,70.0,27.0,5.0
2517743.76,5764909.17,13.0,66.0,30.0,4.5
2533018.31,5768818.56,11.0,80.0,35.0,5.0
2501799.724,5838901.617,11.0,78.0,36.0,5.5
2542834.035,5731812.112,11.0,62.0,40.0,3.0
2446775.653,5710237.268,6.0,65.0,32.0,3.8
2472812.554,5866934.375,5.0,70.0,35.0,4.2
2511758.71,5774456.61,14.0,70.0,27.0,6.0
2528730.915,5766331.498,12.0,80.0,32.0,4.3
2492481.978,5845342.429,12.0,77.0,37.0,5.5
2525214.5,5756949.14,13.0,82.0,36.0,5.5
2499932.069,5834273.398,10.0,70.0,44.0,5.0
2506616.08,5854840.047,10.0,78.0,50.0,4.5
2535182.0,5707218.0,9.0,78.0,53.0,6.0
2498849.551,5762203.633,13.0,68.0,29.0,5.0
2459639.697,5834935.279,14.0,70.0,24.0,5.0
2500519.624,5730797.416,10.0,65.0,40.0,4.5
2533720.638,5756633.662,12.0,82.0,40.0,7.0
2536703.0,5706807.0,7.0,81.0,62.0,5.0
2502806.739,5844048.008,10.0,72.0,42.0,5.5
2548054.81,5772345.504,9.0,85.0,38.0,6.0
2538644.071,5717938.021,10.0,80.0,59.0,5.0
2506322.392,5852368.435,14.0,88.0,50.0,6.0
2527600.94,5725899.01,12.0,81.0,40.0,4.2
2550144.02,5724780.707,9.0,90.0,57.0,6.0
2546086.835,5700037.005,11.0,78.0,38.0,4.0
2546459.273,5702901.786,5.0,73.0,47.0,5.0
2511132.725,5818402.007,9.0,75.0,42.0,4.0
2487718.476,5826781.356,14.0,70.0,24.0,3.5
2501199.284,5833134.866,11.0,70.0,30.0,4.0
2515856.345,5844531.196,10.0,68.0,51.0,4.0
2484966.537,5706738.55,6.0,67.0,40.0,4.2
2521671.363,5780784.389,12.0,72.0,32.0,6.0
2541345.06,5750114.552,11.0,80.0,40.0,5.0
